model,q20_acc,q30_acc,full_acc,q20_kh_recall
M3,0.8564705882352941,0.9012,0.9682716049382715,0.7194365079365079
GPC_ARD_wide|u4,0.8405882352941176,0.8852,0.9619753086419753,0.7512698412698413
logistic_u4|u4+cfg+TE,0.8388235294117646,0.8795999999999999,0.9623456790123457,0.7468134920634921
GPC_ARD_wide|u4+cfg+TE,0.8358823529411764,0.8812000000000001,0.9607407407407408,0.7714166666666666
H_logistic_logh,0.8329411764705883,0.8756,0.961358024691358,0.7026230158730159
logistic_u4|u4,0.8323529411764706,0.8759999999999999,0.9609876543209875,0.7077500000000001
RF500|u4+cfg+TE,0.8305882352941176,0.878,0.9617283950617284,0.7014960317460317
RF500|u4,0.828235294117647,0.878,0.9623456790123457,0.7174206349206349
SVC_rbf|u4+cfg+TE,0.8129411764705883,0.8684000000000001,0.9565432098765432,0.7338888888888888
SVC_rbf|u4,0.81,0.8652,0.955925925925926,0.731218253968254
GBM|u4+cfg+TE,0.8088235294117646,0.8552,0.952716049382716,0.7195992063492064
GBM|u4,0.8088235294117646,0.8548,0.9524691358024691,0.7177936507936508
kNN5|u4+cfg+TE,0.7770588235294117,0.8384,0.9450617283950616,0.5819880952380952
kNN5|u4,0.776470588235294,0.8388,0.9451851851851852,0.5823214285714285
kNN1|u4+cfg+TE,0.7205882352941176,0.8032,0.9334567901234567,0.6503055555555555
kNN1|u4,0.7182352941176471,0.8008,0.9327160493827161,0.6385277777777777
