seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
CAMPAIGN,M3R05,20,-0.0009803921568627527,-0.016622380725783713,0.01466159641205821,0.2
CAMPAIGN,M3R05,24,0.009803921568627439,-0.002188170634159752,0.02179601377141463,0.1
CAMPAIGN,M3R05,28,-1.1102230246251566e-17,-0.009658278355902624,0.009658278355902604,0.15
CAMPAIGN,M3R05,32,-0.0009803921568627306,-0.008603195105257803,0.006642410791532343,0.25
CAMPAIGN,M3R05,36,-0.0009803921568627473,-0.011215053616339987,0.009254269302614493,0.25
CAMPAIGN,M3R05,40,-0.001960784313725489,-0.00873306735270486,0.004811498725253884,0.25
CAMPAIGN,M3R05,44,0.0029411764705882413,-0.002104445939979803,0.007986798881156287,0.1
CAMPAIGN,M3R05,48,-0.0029411764705882413,-0.009925365092758369,0.004043012151581886,0.25
CAMPAIGN,M3R05,52,0.010784313725490175,0.0036896963016926016,0.01787893114928775,0.0
CAMPAIGN,M3R05,56,2.2204460492503132e-17,-0.006829434120045972,0.006829434120046017,0.2
CAMPAIGN,M3R05,60,0.003921568627450983,-0.0005741152849277663,0.008417252539829733,0.0
CAMPAIGN,M3R05,64,0.0019607843137254832,-0.006356931884851619,0.010278500512302585,0.1
CAMPAIGN,M3R05,68,-0.0029411764705882413,-0.00870588235294118,0.002823529411764697,0.2
CAMPAIGN,M3R05,72,0.003921568627450989,-0.0013684882947407866,0.009211625549642765,0.05
CAMPAIGN,M3R05,76,-0.0009803921568627527,-0.004366533676352435,0.0024057493626269298,0.15
CAMPAIGN,M3R05,80,0.001960784313725489,-0.0018823529411764743,0.0058039215686274525,0.05
CAMPAIGN,M3R05,84,-0.004901960784313719,-0.011057929509871008,0.0012540079412435698,0.2
CAMPAIGN,M3R05,88,0.003921568627450978,-0.003764705882352945,0.011607843137254902,0.15
CAMPAIGN,M3R05,92,-0.0019607843137255053,-0.010733351278991719,0.006811782651540707,0.2
CAMPAIGN,M3R05,96,0.0029411764705882413,-0.004043012151581891,0.009925365092758372,0.1
CAMPAIGN,M3R05,100,-0.0009803921568627527,-0.006177796431116211,0.004217012117390705,0.2
CAMPAIGN,M3R05,104,-0.0009803921568627416,-0.004366533676352431,0.002405749362626948,0.1
CAMPAIGN,M3R05,108,-0.0029411764705882084,-0.012709495727763365,0.006827142786586949,0.15
CAMPAIGN,M3R05,112,-0.003921568627450994,-0.010519428813908833,0.002676291559006844,0.15
CAMPAIGN,M3R05,116,5.551115123125783e-18,-0.006234391870907734,0.006234391870907744,0.2
CAMPAIGN,M3R05,120,-0.0009803921568627416,-0.008075009580660347,0.006114225266934863,0.1
CAMPAIGN,M3R05,160,0.0019607843137254997,-0.004811498725253885,0.008733067352704883,0.15
CAMPAIGN,M3R05,200,0.0029411764705882136,-0.004043012151581916,0.009925365092758343,0.15
CAMPAIGN,M3R05,260,0.005882352941176472,-0.004586971317824878,0.01635167720017782,0.2
CAMPAIGN,M3R05,324,0.013725490196078449,0.003634245374942356,0.02381673501721454,0.05
