seq,model,to_n,mean_delta_q20,lo,hi,frac_runs_decrease
MAXIMIN,M3,20,-0.011764705882352932,-0.03629369074028429,0.012764278975578422,0.2
MAXIMIN,M3,24,0.005882352941176461,-0.008361561241386237,0.020126267123739158,0.1
MAXIMIN,M3,28,0.008823529411764697,-0.013736873332657431,0.031383932156186824,0.15
MAXIMIN,M3,32,0.0029411764705882413,-0.010217673977311072,0.016100026918487553,0.1
MAXIMIN,M3,36,-0.011764705882352932,-0.02234481972673648,-0.0011845920379693863,0.2
MAXIMIN,M3,40,0.011764705882352932,0.0011845920379693863,0.02234481972673648,0.0
MAXIMIN,M3,44,0.002941176470588236,-0.012651036352172136,0.018533389293348607,0.15
MAXIMIN,M3,48,-0.005882352941176466,-0.02012626712373918,0.008361561241386248,0.2
MAXIMIN,M3,52,0.02058823529411765,-0.001972167450304478,0.04314863803853978,0.05
MAXIMIN,M3,56,-0.008823529411764707,-0.018268170134952272,0.0006211113114228568,0.15
MAXIMIN,M3,60,0.008823529411764697,-0.0121290364547457,0.029776095278275093,0.05
MAXIMIN,M3,64,0.0,-0.008364314413033078,0.008364314413033078,0.05
MAXIMIN,M3,68,-5.551115123125783e-18,-0.008364314413033074,0.008364314413033064,0.05
MAXIMIN,M3,72,5.551115123125783e-18,-0.011828926882864119,0.011828926882864129,0.1
MAXIMIN,M3,76,0.0,-0.008364314413033078,0.008364314413033078,0.05
MAXIMIN,M3,80,0.0,0.0,0.0,0.0
MAXIMIN,M3,84,0.002941176470588236,-0.0028235294117647065,0.008705882352941178,0.0
MAXIMIN,M3,88,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MAXIMIN,M3,92,0.0,-0.016728628826066138,0.016728628826066138,0.05
MAXIMIN,M3,96,-0.0029411764705882413,-0.0130996010290573,0.007217248087880819,0.1
MAXIMIN,M3,100,-5.551115123125783e-18,-0.008364314413033074,0.008364314413033064,0.05
MAXIMIN,M3,104,0.002941176470588236,-0.0028235294117647065,0.008705882352941178,0.0
MAXIMIN,M3,108,-0.002941176470588236,-0.008705882352941178,0.0028235294117647065,0.05
MAXIMIN,M3,112,0.0,-0.008364314413033078,0.008364314413033078,0.05
MAXIMIN,M3,116,0.011764705882352938,0.0011845920379693863,0.02234481972673649,0.0
MAXIMIN,M3,120,5.551115123125783e-18,-0.008364314413033064,0.008364314413033074,0.05
MAXIMIN,M3,160,0.0058823529411764774,-0.008361561241386232,0.02012626712373919,0.05
MAXIMIN,M3,200,-0.01176470588235295,-0.02970416172026328,0.006174749955557382,0.25
MAXIMIN,M3,260,0.002941176470588236,-0.007217248087880831,0.013099601029057304,0.05
MAXIMIN,M3,324,0.0,-0.008364314413033078,0.008364314413033078,0.05
