seq,model,q20_at_16,q20_at_40,q20_at_80,q20_at_120,q20_at_324,q20_max,n_at_max,n_steps_signif_decrease,steps_signif_decrease,mean_frac_steps_decrease_per_run,q30_at_324,full_at_324,khrec_q20_at_324
BAND,M3,0.8147058823529413,0.8450980392156865,0.8588235294117649,0.8598039215686276,0.8441176470588238,0.8598039215686276,96,1,[324],0.13333333333333333,0.8940000000000001,0.9654320987654321,0.7087500000000001
BAND,M3R05,0.8147058823529413,0.8421568627450983,0.8598039215686276,0.8598039215686276,0.8529411764705884,0.8617647058823531,84,0,[],0.11166666666666666,0.9000000000000001,0.967283950617284,0.7335317460317461
CAMPAIGN,M3,0.8147058823529413,0.8186274509803925,0.8372549019607846,0.8303921568627454,0.8441176470588238,0.8441176470588238,260,0,[],0.16333333333333336,0.8940000000000001,0.9654320987654321,0.7087500000000001
CAMPAIGN,M3R05,0.8147058823529413,0.8196078431372552,0.8382352941176473,0.8284313725490199,0.8529411764705884,0.8529411764705884,324,0,[],0.14666666666666667,0.9000000000000001,0.967283950617284,0.7335317460317461
MARGIN,M3,0.8147058823529413,0.8352941176470591,0.8617647058823531,0.8500000000000002,0.8441176470588238,0.8647058823529413,84,1,[40],0.07333333333333332,0.8940000000000001,0.9654320987654321,0.7087500000000001
MARGIN,M3R05,0.8147058823529413,0.8352941176470591,0.8617647058823531,0.8529411764705884,0.8529411764705884,0.8647058823529413,84,0,[],0.07166666666666664,0.9000000000000001,0.967283950617284,0.7335317460317461
MAXIMIN,M3,0.8147058823529413,0.8205882352941177,0.8382352941176473,0.847058823529412,0.8441176470588238,0.8529411764705884,160,1,[36],0.07999999999999999,0.8940000000000001,0.9654320987654321,0.7087500000000001
MAXIMIN,M3R05,0.8147058823529413,0.8264705882352944,0.8411764705882355,0.8411764705882355,0.8529411764705884,0.8529411764705884,324,0,[],0.07833333333333334,0.9000000000000001,0.967283950617284,0.7335317460317461
RANDOM,M3,0.8147058823529413,0.8313725490196081,0.8284313725490199,0.8333333333333336,0.8441176470588238,0.8450980392156865,260,0,[],0.1683333333333333,0.8940000000000001,0.9654320987654321,0.7087500000000001
RANDOM,M3R05,0.8147058823529413,0.8313725490196081,0.8274509803921571,0.8333333333333336,0.8529411764705884,0.8529411764705884,324,1,[72],0.16,0.9000000000000001,0.967283950617284,0.7335317460317461
